state,state_case,distract_num,distract_desc,state_name,year
1,10001,0,Not/Unknown if Distracted,AL,2016
1,10002,0,Not/Unknown if Distracted,AL,2016
1,10003,0,Not/Unknown if Distracted,AL,2016
1,10004,99,Not/Unknown if Distracted,AL,2016
1,10005,99,Not/Unknown if Distracted,AL,2016
1,10006,99,Not/Unknown if Distracted,AL,2016
1,10007,99,Not/Unknown if Distracted,AL,2016
1,10008,0,Not/Unknown if Distracted,AL,2016
1,10009,99,Not/Unknown if Distracted,AL,2016
1,10009,0,Not/Unknown if Distracted,AL,2016
1,10010,99,Not/Unknown if Distracted,AL,2016
1,10011,99,Not/Unknown if Distracted,AL,2016
1,10011,99,Not/Unknown if Distracted,AL,2016
1,10012,10,Object in Vehicle,AL,2016
1,10013,99,Not/Unknown if Distracted,AL,2016
1,10014,99,Not/Unknown if Distracted,AL,2016
1,10014,0,Not/Unknown if Distracted,AL,2016
1,10015,99,Not/Unknown if Distracted,AL,2016
1,10015,0,Not/Unknown if Distracted,AL,2016
1,10016,99,Not/Unknown if Distracted,AL,2016
1,10017,0,Not/Unknown if Distracted,AL,2016
1,10018,99,Not/Unknown if Distracted,AL,2016
1,10019,99,Not/Unknown if Distracted,AL,2016
1,10020,99,Not/Unknown if Distracted,AL,2016
1,10020,0,Not/Unknown if Distracted,AL,2016
1,10021,99,Not/Unknown if Distracted,AL,2016
1,10021,0,Not/Unknown if Distracted,AL,2016
1,10022,0,Not/Unknown if Distracted,AL,2016
1,10022,0,Not/Unknown if Distracted,AL,2016
1,10023,0,Not/Unknown if Distracted,AL,2016
1,10024,99,Not/Unknown if Distracted,AL,2016
1,10025,99,Not/Unknown if Distracted,AL,2016
1,10025,0,Not/Unknown if Distracted,AL,2016
1,10026,0,Not/Unknown if Distracted,AL,2016
1,10026,0,Not/Unknown if Distracted,AL,2016
1,10026,0,Not/Unknown if Distracted,AL,2016
1,10027,99,Not/Unknown if Distracted,AL,2016
1,10028,99,Not/Unknown if Distracted,AL,2016
1,10029,99,Not/Unknown if Distracted,AL,2016
1,10029,0,Not/Unknown if Distracted,AL,2016
1,10030,99,Not/Unknown if Distracted,AL,2016
1,10031,0,Not/Unknown if Distracted,AL,2016
1,10031,0,Not/Unknown if Distracted,AL,2016
1,10031,0,Not/Unknown if Distracted,AL,2016
1,10032,0,Not/Unknown if Distracted,AL,2016
1,10032,0,Not/Unknown if Distracted,AL,2016
1,10033,0,Not/Unknown if Distracted,AL,2016
1,10033,0,Not/Unknown if Distracted,AL,2016
1,10034,0,Not/Unknown if Distracted,AL,2016
1,10034,0,Not/Unknown if Distracted,AL,2016
1,10035,0,Not/Unknown if Distracted,AL,2016
1,10035,0,Not/Unknown if Distracted,AL,2016
1,10036,0,Not/Unknown if Distracted,AL,2016
1,10037,0,Not/Unknown if Distracted,AL,2016
1,10038,0,Not/Unknown if Distracted,AL,2016
1,10038,0,Not/Unknown if Distracted,AL,2016
1,10039,0,Not/Unknown if Distracted,AL,2016
1,10040,99,Not/Unknown if Distracted,AL,2016
1,10040,0,Not/Unknown if Distracted,AL,2016
1,10041,99,Not/Unknown if Distracted,AL,2016
1,10041,0,Not/Unknown if Distracted,AL,2016
1,10041,0,Not/Unknown if Distracted,AL,2016
1,10042,0,Not/Unknown if Distracted,AL,2016
1,10042,0,Not/Unknown if Distracted,AL,2016
1,10043,99,Not/Unknown if Distracted,AL,2016
1,10044,0,Not/Unknown if Distracted,AL,2016
1,10045,0,Not/Unknown if Distracted,AL,2016
1,10046,0,Not/Unknown if Distracted,AL,2016
1,10047,99,Not/Unknown if Distracted,AL,2016
1,10047,0,Not/Unknown if Distracted,AL,2016
1,10048,0,Not/Unknown if Distracted,AL,2016
1,10048,0,Not/Unknown if Distracted,AL,2016
1,10048,0,Not/Unknown if Distracted,AL,2016
1,10049,0,Not/Unknown if Distracted,AL,2016
1,10049,0,Not/Unknown if Distracted,AL,2016
1,10050,99,Not/Unknown if Distracted,AL,2016
1,10050,0,Not/Unknown if Distracted,AL,2016
1,10051,0,Not/Unknown if Distracted,AL,2016
1,10051,0,Not/Unknown if Distracted,AL,2016
1,10052,0,Not/Unknown if Distracted,AL,2016
1,10053,0,Not/Unknown if Distracted,AL,2016
1,10054,99,Not/Unknown if Distracted,AL,2016
1,10054,0,Not/Unknown if Distracted,AL,2016
1,10055,99,Not/Unknown if Distracted,AL,2016
1,10055,0,Not/Unknown if Distracted,AL,2016
1,10056,99,Not/Unknown if Distracted,AL,2016
1,10057,0,Not/Unknown if Distracted,AL,2016
1,10057,0,Not/Unknown if Distracted,AL,2016
1,10058,0,Not/Unknown if Distracted,AL,2016
1,10059,99,Not/Unknown if Distracted,AL,2016
1,10059,0,Not/Unknown if Distracted,AL,2016
1,10059,0,Not/Unknown if Distracted,AL,2016
1,10060,0,Not/Unknown if Distracted,AL,2016
1,10060,0,Not/Unknown if Distracted,AL,2016
1,10061,99,Not/Unknown if Distracted,AL,2016
1,10061,0,Not/Unknown if Distracted,AL,2016
1,10061,0,Not/Unknown if Distracted,AL,2016
1,10062,0,Not/Unknown if Distracted,AL,2016
1,10063,99,Not/Unknown if Distracted,AL,2016
1,10063,0,Not/Unknown if Distracted,AL,2016
1,10063,0,Not/Unknown if Distracted,AL,2016
1,10063,0,Not/Unknown if Distracted,AL,2016
1,10064,0,Not/Unknown if Distracted,AL,2016
1,10064,0,Not/Unknown if Distracted,AL,2016
1,10065,0,Not/Unknown if Distracted,AL,2016
1,10065,0,Not/Unknown if Distracted,AL,2016
1,10066,99,Not/Unknown if Distracted,AL,2016
1,10067,92,Distracted Unspecified,AL,2016
1,10068,99,Not/Unknown if Distracted,AL,2016
1,10069,0,Not/Unknown if Distracted,AL,2016
1,10070,99,Not/Unknown if Distracted,AL,2016
1,10071,99,Not/Unknown if Distracted,AL,2016
1,10072,99,Not/Unknown if Distracted,AL,2016
1,10073,0,Not/Unknown if Distracted,AL,2016
1,10074,99,Not/Unknown if Distracted,AL,2016
1,10075,0,Not/Unknown if Distracted,AL,2016
1,10076,99,Not/Unknown if Distracted,AL,2016
1,10076,0,Not/Unknown if Distracted,AL,2016
1,10076,0,Not/Unknown if Distracted,AL,2016
1,10077,99,Not/Unknown if Distracted,AL,2016
1,10077,0,Not/Unknown if Distracted,AL,2016
1,10078,99,Not/Unknown if Distracted,AL,2016
1,10079,0,Not/Unknown if Distracted,AL,2016
1,10080,99,Not/Unknown if Distracted,AL,2016
1,10081,99,Not/Unknown if Distracted,AL,2016
1,10081,0,Not/Unknown if Distracted,AL,2016
1,10082,15,Cell Phone,AL,2016
1,10082,0,Not/Unknown if Distracted,AL,2016
1,10083,0,Not/Unknown if Distracted,AL,2016
1,10084,0,Not/Unknown if Distracted,AL,2016
1,10085,99,Not/Unknown if Distracted,AL,2016
1,10086,99,Not/Unknown if Distracted,AL,2016
1,10086,0,Not/Unknown if Distracted,AL,2016
1,10086,0,Not/Unknown if Distracted,AL,2016
1,10087,99,Not/Unknown if Distracted,AL,2016
1,10088,0,Not/Unknown if Distracted,AL,2016
1,10088,0,Not/Unknown if Distracted,AL,2016
1,10089,0,Not/Unknown if Distracted,AL,2016
1,10090,99,Not/Unknown if Distracted,AL,2016
1,10091,0,Not/Unknown if Distracted,AL,2016
1,10092,99,Not/Unknown if Distracted,AL,2016
1,10093,0,Not/Unknown if Distracted,AL,2016
1,10093,0,Not/Unknown if Distracted,AL,2016
1,10094,99,Not/Unknown if Distracted,AL,2016
1,10095,99,Not/Unknown if Distracted,AL,2016
1,10096,0,Not/Unknown if Distracted,AL,2016
1,10097,99,Not/Unknown if Distracted,AL,2016
1,10098,99,Not/Unknown if Distracted,AL,2016
1,10098,0,Not/Unknown if Distracted,AL,2016
1,10099,99,Not/Unknown if Distracted,AL,2016
1,10100,99,Not/Unknown if Distracted,AL,2016
1,10101,99,Not/Unknown if Distracted,AL,2016
1,10102,0,Not/Unknown if Distracted,AL,2016
1,10103,0,Not/Unknown if Distracted,AL,2016
1,10104,0,Not/Unknown if Distracted,AL,2016
1,10105,99,Not/Unknown if Distracted,AL,2016
1,10106,0,Not/Unknown if Distracted,AL,2016
1,10107,0,Not/Unknown if Distracted,AL,2016
1,10108,0,Not/Unknown if Distracted,AL,2016
1,10108,0,Not/Unknown if Distracted,AL,2016
1,10109,0,Not/Unknown if Distracted,AL,2016
1,10110,0,Not/Unknown if Distracted,AL,2016
1,10111,0,Not/Unknown if Distracted,AL,2016
1,10111,0,Not/Unknown if Distracted,AL,2016
1,10112,99,Not/Unknown if Distracted,AL,2016
1,10112,0,Not/Unknown if Distracted,AL,2016
1,10113,0,Not/Unknown if Distracted,AL,2016
1,10114,0,Not/Unknown if Distracted,AL,2016
1,10115,0,Not/Unknown if Distracted,AL,2016
1,10116,0,Not/Unknown if Distracted,AL,2016
1,10116,0,Not/Unknown if Distracted,AL,2016
1,10117,99,Not/Unknown if Distracted,AL,2016
1,10117,0,Not/Unknown if Distracted,AL,2016
1,10117,0,Not/Unknown if Distracted,AL,2016
1,10118,0,Not/Unknown if Distracted,AL,2016
1,10119,0,Not/Unknown if Distracted,AL,2016
1,10119,99,Not/Unknown if Distracted,AL,2016
1,10120,99,Not/Unknown if Distracted,AL,2016
1,10121,99,Not/Unknown if Distracted,AL,2016
1,10121,0,Not/Unknown if Distracted,AL,2016
1,10122,0,Not/Unknown if Distracted,AL,2016
1,10123,99,Not/Unknown if Distracted,AL,2016
1,10124,0,Not/Unknown if Distracted,AL,2016
1,10125,99,Not/Unknown if Distracted,AL,2016
1,10126,0,Not/Unknown if Distracted,AL,2016
1,10127,0,Not/Unknown if Distracted,AL,2016
1,10128,99,Not/Unknown if Distracted,AL,2016
1,10129,99,Not/Unknown if Distracted,AL,2016
1,10130,6,Cell Phone,AL,2016
1,10131,0,Not/Unknown if Distracted,AL,2016
1,10132,99,Not/Unknown if Distracted,AL,2016
1,10133,99,Not/Unknown if Distracted,AL,2016
1,10134,99,Not/Unknown if Distracted,AL,2016
1,10134,0,Not/Unknown if Distracted,AL,2016
1,10134,0,Not/Unknown if Distracted,AL,2016
1,10135,0,Not/Unknown if Distracted,AL,2016
1,10136,99,Not/Unknown if Distracted,AL,2016
1,10137,0,Not/Unknown if Distracted,AL,2016
1,10138,0,Not/Unknown if Distracted,AL,2016
1,10138,0,Not/Unknown if Distracted,AL,2016
1,10139,0,Not/Unknown if Distracted,AL,2016
1,10140,0,Not/Unknown if Distracted,AL,2016
1,10141,99,Not/Unknown if Distracted,AL,2016
1,10142,99,Not/Unknown if Distracted,AL,2016
1,10143,1,Distracted Unspecified,AL,2016
1,10143,0,Not/Unknown if Distracted,AL,2016
1,10144,0,Not/Unknown if Distracted,AL,2016
1,10144,0,Not/Unknown if Distracted,AL,2016
1,10145,99,Not/Unknown if Distracted,AL,2016
1,10145,99,Not/Unknown if Distracted,AL,2016
1,10146,99,Not/Unknown if Distracted,AL,2016
1,10147,0,Not/Unknown if Distracted,AL,2016
1,10148,0,Not/Unknown if Distracted,AL,2016
1,10148,0,Not/Unknown if Distracted,AL,2016
1,10149,0,Not/Unknown if Distracted,AL,2016
1,10150,99,Not/Unknown if Distracted,AL,2016
1,10150,0,Not/Unknown if Distracted,AL,2016
1,10151,4,Object in Vehicle,AL,2016
1,10151,0,Not/Unknown if Distracted,AL,2016
1,10152,0,Not/Unknown if Distracted,AL,2016
1,10152,0,Not/Unknown if Distracted,AL,2016
1,10153,0,Not/Unknown if Distracted,AL,2016
1,10154,99,Not/Unknown if Distracted,AL,2016
1,10155,0,Not/Unknown if Distracted,AL,2016
1,10155,0,Not/Unknown if Distracted,AL,2016
1,10156,99,Not/Unknown if Distracted,AL,2016
1,10157,99,Not/Unknown if Distracted,AL,2016
1,10158,0,Not/Unknown if Distracted,AL,2016
1,10159,0,Not/Unknown if Distracted,AL,2016
1,10159,0,Not/Unknown if Distracted,AL,2016
1,10160,0,Not/Unknown if Distracted,AL,2016
1,10161,0,Not/Unknown if Distracted,AL,2016
1,10162,0,Not/Unknown if Distracted,AL,2016
1,10163,0,Not/Unknown if Distracted,AL,2016
1,10164,99,Not/Unknown if Distracted,AL,2016
1,10164,0,Not/Unknown if Distracted,AL,2016
1,10165,99,Not/Unknown if Distracted,AL,2016
1,10166,99,Not/Unknown if Distracted,AL,2016
1,10167,1,Distracted Unspecified,AL,2016
1,10167,0,Not/Unknown if Distracted,AL,2016
1,10168,0,Not/Unknown if Distracted,AL,2016
1,10168,0,Not/Unknown if Distracted,AL,2016
1,10169,99,Not/Unknown if Distracted,AL,2016
1,10170,99,Not/Unknown if Distracted,AL,2016
1,10171,0,Not/Unknown if Distracted,AL,2016
1,10171,0,Not/Unknown if Distracted,AL,2016
1,10172,0,Not/Unknown if Distracted,AL,2016
1,10172,0,Not/Unknown if Distracted,AL,2016
1,10173,96,Not/Unknown if Distracted,AL,2016
1,10174,0,Not/Unknown if Distracted,AL,2016
1,10174,0,Not/Unknown if Distracted,AL,2016
1,10175,99,Not/Unknown if Distracted,AL,2016
1,10176,0,Not/Unknown if Distracted,AL,2016
1,10177,99,Not/Unknown if Distracted,AL,2016
1,10178,0,Not/Unknown if Distracted,AL,2016
1,10179,99,Not/Unknown if Distracted,AL,2016
1,10180,99,Not/Unknown if Distracted,AL,2016
1,10181,0,Not/Unknown if Distracted,AL,2016
1,10182,99,Not/Unknown if Distracted,AL,2016
