state,state_case,distract_num,distract_desc,state_name,year
1,10001,0,Not/Unknown if Distracted,AL,2014
1,10002,0,Not/Unknown if Distracted,AL,2014
1,10003,0,Not/Unknown if Distracted,AL,2014
1,10003,0,Not/Unknown if Distracted,AL,2014
1,10004,99,Not/Unknown if Distracted,AL,2014
1,10004,0,Not/Unknown if Distracted,AL,2014
1,10004,0,Not/Unknown if Distracted,AL,2014
1,10005,99,Not/Unknown if Distracted,AL,2014
1,10006,0,Not/Unknown if Distracted,AL,2014
1,10007,0,Not/Unknown if Distracted,AL,2014
1,10007,0,Not/Unknown if Distracted,AL,2014
1,10008,0,Not/Unknown if Distracted,AL,2014
1,10008,0,Not/Unknown if Distracted,AL,2014
1,10009,0,Not/Unknown if Distracted,AL,2014
1,10009,0,Not/Unknown if Distracted,AL,2014
1,10009,0,Not/Unknown if Distracted,AL,2014
1,10010,99,Not/Unknown if Distracted,AL,2014
1,10010,0,Not/Unknown if Distracted,AL,2014
1,10011,99,Not/Unknown if Distracted,AL,2014
1,10012,99,Not/Unknown if Distracted,AL,2014
1,10013,99,Not/Unknown if Distracted,AL,2014
1,10014,0,Not/Unknown if Distracted,AL,2014
1,10015,16,Not/Unknown if Distracted,AL,2014
1,10015,0,Not/Unknown if Distracted,AL,2014
1,10016,3,Other People,AL,2014
1,10017,0,Not/Unknown if Distracted,AL,2014
1,10017,0,Not/Unknown if Distracted,AL,2014
1,10018,99,Not/Unknown if Distracted,AL,2014
1,10019,0,Not/Unknown if Distracted,AL,2014
1,10020,0,Not/Unknown if Distracted,AL,2014
1,10021,0,Not/Unknown if Distracted,AL,2014
1,10022,0,Not/Unknown if Distracted,AL,2014
1,10023,0,Not/Unknown if Distracted,AL,2014
1,10023,0,Not/Unknown if Distracted,AL,2014
1,10024,0,Not/Unknown if Distracted,AL,2014
1,10024,0,Not/Unknown if Distracted,AL,2014
1,10025,0,Not/Unknown if Distracted,AL,2014
1,10025,0,Not/Unknown if Distracted,AL,2014
1,10025,0,Not/Unknown if Distracted,AL,2014
1,10026,99,Not/Unknown if Distracted,AL,2014
1,10027,0,Not/Unknown if Distracted,AL,2014
1,10027,0,Not/Unknown if Distracted,AL,2014
1,10028,0,Not/Unknown if Distracted,AL,2014
1,10029,0,Not/Unknown if Distracted,AL,2014
1,10029,0,Not/Unknown if Distracted,AL,2014
1,10029,0,Not/Unknown if Distracted,AL,2014
1,10030,0,Not/Unknown if Distracted,AL,2014
1,10031,0,Not/Unknown if Distracted,AL,2014
1,10031,0,Not/Unknown if Distracted,AL,2014
1,10032,0,Not/Unknown if Distracted,AL,2014
1,10033,0,Not/Unknown if Distracted,AL,2014
1,10033,0,Not/Unknown if Distracted,AL,2014
1,10034,0,Not/Unknown if Distracted,AL,2014
1,10035,0,Not/Unknown if Distracted,AL,2014
1,10035,0,Not/Unknown if Distracted,AL,2014
1,10036,0,Not/Unknown if Distracted,AL,2014
1,10037,0,Not/Unknown if Distracted,AL,2014
1,10037,16,Not/Unknown if Distracted,AL,2014
1,10038,0,Not/Unknown if Distracted,AL,2014
1,10039,0,Not/Unknown if Distracted,AL,2014
1,10039,0,Not/Unknown if Distracted,AL,2014
1,10039,0,Not/Unknown if Distracted,AL,2014
1,10039,0,Not/Unknown if Distracted,AL,2014
1,10040,0,Not/Unknown if Distracted,AL,2014
1,10041,0,Not/Unknown if Distracted,AL,2014
1,10042,0,Not/Unknown if Distracted,AL,2014
1,10042,0,Not/Unknown if Distracted,AL,2014
1,10042,0,Not/Unknown if Distracted,AL,2014
1,10042,0,Not/Unknown if Distracted,AL,2014
1,10043,0,Not/Unknown if Distracted,AL,2014
1,10044,0,Not/Unknown if Distracted,AL,2014
1,10044,0,Not/Unknown if Distracted,AL,2014
1,10045,0,Not/Unknown if Distracted,AL,2014
1,10046,0,Not/Unknown if Distracted,AL,2014
1,10046,0,Not/Unknown if Distracted,AL,2014
1,10047,0,Not/Unknown if Distracted,AL,2014
1,10048,0,Not/Unknown if Distracted,AL,2014
1,10048,0,Not/Unknown if Distracted,AL,2014
1,10048,0,Not/Unknown if Distracted,AL,2014
1,10049,0,Not/Unknown if Distracted,AL,2014
1,10050,0,Not/Unknown if Distracted,AL,2014
1,10051,0,Not/Unknown if Distracted,AL,2014
1,10051,0,Not/Unknown if Distracted,AL,2014
1,10052,0,Not/Unknown if Distracted,AL,2014
1,10053,0,Not/Unknown if Distracted,AL,2014
