state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
1,10001,1,0,1,1,33.87865278,-87.3253,1,1,AL,Unknown,Dark Not Lighted,0,1,1,2015,2,40,2
1,10002,1,0,1,1,34.91044167,-86.9087,1,0,AL,Unknown,Dark Not Lighted,0,1,1,2015,22,13,2
1,10003,1,0,2,1,32.14200556,-85.7585,1,1,AL,Unknown,Dark Not Lighted,0,1,1,2015,1,25,2
1,10004,1,0,1,1,31.43981389,-85.5103,1,1,AL,Unknown,Dark Not Lighted,0,4,1,2015,0,57,2
1,10005,2,0,2,2,31.31933056,-85.5151,1,0,AL,MIDLAND CITY,Daylight,2050,7,1,2015,7,9,1
1,10006,1,0,2,1,33.43849444,-85.3893,1,0,AL,Unknown,Daylight,0,8,1,2015,9,59,1
1,10007,1,0,2,2,34.77304444,-86.5277,1,0,AL,HUNTSVILLE,Dark Lighted,1730,8,1,2015,18,33,3
1,10008,1,1,1,2,33.46248889,-86.8709,1,0,AL,BIRMINGHAM,Dark Not Lighted,350,3,1,2015,21,30,2
1,10009,1,0,1,2,33.2361,-86.8139,1,0,AL,Unknown,Daylight,47,13,1,2015,8,0,1
1,10010,2,0,2,1,34.75836667,-87.6075,1,0,AL,Unknown,Dark Not Lighted,0,5,1,2015,18,45,2
1,10011,2,0,2,2,34.76602778,-86.8792,1,0,AL,Unknown,Dark Not Lighted,0,7,1,2015,20,55,2
1,10012,3,0,6,2,34.36911667,-86.2889,1,0,AL,GUNTERSVILLE,Daylight,1500,9,1,2015,6,35,1
1,10013,1,0,1,1,32.55177222,-85.7446,1,1,AL,Unknown,Daylight,0,10,1,2015,10,55,1
1,10014,1,0,1,1,32.16270833,-85.714,1,1,AL,Unknown,Daylight,0,11,1,2015,6,13,1
1,10015,1,0,1,1,33.96415,-87.6057,1,0,AL,Unknown,Daylight,0,11,1,2015,8,30,1
1,10016,2,0,2,2,32.61823889,-85.3714,1,0,AL,OPELIKA,Dark Lighted,2340,13,1,2015,17,20,3
1,10017,1,0,1,2,30.50592778,-88.2339,1,0,AL,Unknown,Daylight,0,14,1,2015,14,40,1
1,10018,1,0,2,1,32.52434444,-86.6721,1,1,AL,Unknown,Dark Not Lighted,0,16,1,2015,19,15,2
1,10019,1,0,1,1,33.22930833,-86.2693,1,0,AL,Unknown,Dark Not Lighted,0,19,1,2015,1,0,2
1,10020,2,0,3,1,33.46581111,-86.05,1,0,AL,TALLADEGA,Dark Not Lighted,2910,15,1,2015,17,10,2
1,10021,2,0,4,1,33.56601667,-86.521,1,0,AL,Unknown,Daylight,0,23,1,2015,13,48,1
1,10022,1,0,2,1,33.84021944,-87.3316,1,0,AL,Unknown,Dark Not Lighted,0,26,1,2015,6,15,2
1,10023,1,0,1,1,32.21718333,-85.9188,1,1,AL,Unknown,Dark Not Lighted,0,12,1,2015,21,20,2
1,10024,1,0,1,1,31.83945278,-85.2207,1,0,AL,Unknown,Dawn,0,2,1,2015,6,0,4
