state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
6,60836,1,0,1,2,34.05439722,-118.257,1,1,CA,LOS ANGELES,Dark Lighted,1980,6,1,2018,4,55,3
6,60837,2,0,2,1,33.80371389,-116.384,1,1,CA,Unknown,Dark Lighted,0,1,5,2018,1,58,3
6,60838,1,0,1,2,41.317,-121.42299999999999,1,0,CA,Unknown,Daylight,0,30,5,2018,13,35,1
6,60839,1,0,1,1,40.9104,-124.068,1,1,CA,Unknown,Dark Not Lighted,0,3,4,2018,23,39,2
6,60840,2,0,2,2,39.19143889,-121.535,1,0,CA,Unknown,Dark Not Lighted,0,26,4,2018,23,10,2
6,60841,1,0,1,1,40.48171667,-123.735,1,0,CA,Unknown,Daylight,0,30,4,2018,19,20,1
6,60842,2,0,5,1,34.44188889,-117.645,1,1,CA,Unknown,Daylight,0,25,5,2018,17,39,1
6,60843,2,0,2,1,38.42368889,-122.391,1,1,CA,Unknown,Daylight,0,23,4,2018,9,28,1
6,60844,1,0,1,1,36.51752778,-119.46799999999999,1,1,CA,Unknown,Daylight,0,21,4,2018,13,25,1
6,60845,1,0,1,1,40.96926944,-122.61399999999999,1,0,CA,Unknown,Daylight,0,31,5,2018,99,99,1
6,60846,3,0,7,2,34.11545,-118.24,1,0,CA,LOS ANGELES,Daylight,1980,7,4,2018,15,7,1
6,60847,2,0,3,1,33.79290833,-117.359,1,0,CA,Unknown,Daylight,0,2,5,2018,18,23,1
6,60848,1,0,1,1,37.68866389,-121.917,1,0,CA,PLEASANTON,Daylight,2840,29,4,2018,11,4,1
6,60849,2,0,6,1,37.01691111,-120.12700000000001,3,1,CA,Unknown,Dark Not Lighted,0,29,7,2018,2,52,2
6,60850,2,0,3,2,37.33831944,-121.11399999999999,1,0,CA,Unknown,Daylight,0,21,6,2018,17,55,1
6,60851,1,1,1,2,33.76415278,-116.97200000000001,1,0,CA,HEMET,Daylight,1580,13,4,2018,21,49,1
6,60852,2,0,4,2,37.66101111,-121.806,1,0,CA,LIVERMORE,Daylight,1920,16,3,2018,8,53,1
6,60853,1,1,1,2,33.78984722,-118.161,1,0,CA,SIGNAL HILL,Dark Lighted,3630,20,3,2018,21,4,3
6,60854,1,1,1,2,32.74831667,-117.17399999999999,1,0,CA,SAN DIEGO,Dark Lighted,3260,22,3,2018,0,25,3
6,60855,1,0,1,1,38.65696667,-121.045,1,1,CA,Unknown,Daylight,0,6,4,2018,17,17,1
6,60856,1,0,1,2,38.66364167,-121.301,1,0,CA,Unknown,Daylight,0,3,5,2018,11,38,1
6,60857,1,0,1,2,35.43614167,-119.08,1,0,CA,Unknown,Daylight,0,6,7,2018,12,35,1
6,60858,1,0,1,1,35.52726111,-118.969,1,1,CA,Unknown,Daylight,0,19,7,2018,11,55,1
6,60859,2,0,6,1,37.90419167,-120.58200000000001,1,0,CA,Unknown,Daylight,0,4,7,2018,14,3,1
6,60860,1,0,1,1,35.74338333,-118.581,1,0,CA,Unknown,Daylight,0,10,6,2018,13,40,1
6,60861,1,1,1,2,33.67259167,-117.33,1,1,CA,LAKE ELSINORE,Dark Lighted,1801,13,3,2018,19,22,3
6,60862,3,0,3,2,33.90066389,-118.221,1,0,CA,COMPTON,Daylight,810,4,5,2018,16,38,1
6,60863,1,1,1,2,35.36682222,-119.00299999999999,1,0,CA,BAKERSFIELD,Dark Lighted,240,6,3,2018,18,27,3
6,60864,2,0,2,2,32.79541389,-116.936,1,0,CA,EL CAJON,Dark Lighted,1080,1,2,2018,0,40,3
6,60865,1,1,1,2,33.93260833,-116.50200000000001,1,0,CA,DESERT HOT SPRINGS,Dark Not Lighted,1003,17,3,2018,20,41,2
