state,state_case,distract_num,distract_desc,state_name,year
1,10001,96,Not/Unknown if Distracted,AL,2018
1,10002,96,Not/Unknown if Distracted,AL,2018
1,10003,0,Not/Unknown if Distracted,AL,2018
1,10003,0,Not/Unknown if Distracted,AL,2018
1,10004,96,Not/Unknown if Distracted,AL,2018
1,10005,96,Not/Unknown if Distracted,AL,2018
1,10005,0,Not/Unknown if Distracted,AL,2018
1,10006,0,Not/Unknown if Distracted,AL,2018
1,10007,0,Not/Unknown if Distracted,AL,2018
1,10008,0,Not/Unknown if Distracted,AL,2018
1,10008,16,Not/Unknown if Distracted,AL,2018
1,10009,96,Not/Unknown if Distracted,AL,2018
1,10010,0,Not/Unknown if Distracted,AL,2018
1,10011,99,Not/Unknown if Distracted,AL,2018
1,10011,96,Not/Unknown if Distracted,AL,2018
1,10011,96,Not/Unknown if Distracted,AL,2018
1,10012,96,Not/Unknown if Distracted,AL,2018
1,10013,96,Not/Unknown if Distracted,AL,2018
1,10013,96,Not/Unknown if Distracted,AL,2018
1,10013,0,Not/Unknown if Distracted,AL,2018
1,10014,96,Not/Unknown if Distracted,AL,2018
1,10014,96,Not/Unknown if Distracted,AL,2018
1,10015,0,Not/Unknown if Distracted,AL,2018
1,10016,92,Distracted Unspecified,AL,2018
1,10017,0,Not/Unknown if Distracted,AL,2018
1,10018,96,Not/Unknown if Distracted,AL,2018
1,10018,96,Not/Unknown if Distracted,AL,2018
1,10019,99,Not/Unknown if Distracted,AL,2018
1,10020,96,Not/Unknown if Distracted,AL,2018
1,10020,96,Not/Unknown if Distracted,AL,2018
1,10021,99,Not/Unknown if Distracted,AL,2018
1,10021,96,Not/Unknown if Distracted,AL,2018
1,10022,6,Cell Phone,AL,2018
1,10022,96,Not/Unknown if Distracted,AL,2018
1,10023,0,Not/Unknown if Distracted,AL,2018
1,10023,0,Not/Unknown if Distracted,AL,2018
1,10024,99,Not/Unknown if Distracted,AL,2018
1,10024,96,Not/Unknown if Distracted,AL,2018
1,10025,96,Not/Unknown if Distracted,AL,2018
1,10025,96,Not/Unknown if Distracted,AL,2018
1,10026,0,Not/Unknown if Distracted,AL,2018
1,10027,0,Not/Unknown if Distracted,AL,2018
1,10028,5,Cell Phone,AL,2018
1,10028,96,Not/Unknown if Distracted,AL,2018
1,10029,0,Not/Unknown if Distracted,AL,2018
1,10030,15,Cell Phone,AL,2018
1,10030,0,Not/Unknown if Distracted,AL,2018
1,10031,0,Not/Unknown if Distracted,AL,2018
