state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
1,10001,1,0,2,1,32.70131667,-85.5252,1,1,AL,Unknown,Dark Not Lighted,0,1,1,2012,20,33,2
1,10002,2,0,1,2,34.74250833,-86.8835,1,0,AL,Unknown,Daylight,0,1,1,2012,13,15,1
1,10003,1,0,6,1,32.55205278,-87.3478,1,0,AL,Unknown,Dark Not Lighted,0,2,1,2012,1,35,2
1,10004,2,0,5,2,32.64143611,-85.3543,1,0,AL,OPELIKA,Daylight,2340,5,1,2012,15,12,1
1,10005,1,0,1,1,34.92802778,-87.8151,1,0,AL,Unknown,Dawn,0,6,1,2012,6,0,4
1,10006,2,1,2,2,32.38015556,-86.2979,1,0,AL,MONTGOMERY,Dark Lighted,2130,8,1,2012,18,41,3
1,10007,1,0,1,1,32.42127222,-87.0869,1,1,AL,Unknown,Dark Not Lighted,0,8,1,2012,3,0,2
1,10008,1,0,1,1,32.90949722,-85.7589,1,1,AL,Unknown,Dark Not Lighted,0,4,1,2012,1,50,2
1,10009,2,1,1,2,33.58091944,-86.2765,1,0,AL,PELL CITY,Dark Lighted,2410,1,1,2012,18,42,3
1,10010,1,1,3,2,32.516175,-86.2118,1,0,AL,WETUMPKA,Dark Not Lighted,3270,4,1,2012,18,28,2
1,10011,1,0,1,2,33.5726,-86.6528,1,0,AL,BIRMINGHAM,Daylight,350,6,1,2012,13,36,1
1,10012,1,1,1,2,33.83251111,-87.2696,1,0,AL,JASPER,Dark Lighted,1780,22,1,2012,19,49,3
1,10013,1,0,1,2,34.65639167,-85.7274,1,0,AL,HENAGAR,Dark Not Lighted,1632,25,1,2012,18,40,2
1,10014,1,0,1,2,34.27694167,-87.7149,1,0,AL,BEAR CREEK,Dark Not Lighted,270,27,1,2012,18,50,2
1,10015,2,0,5,1,33.73851111,-86.4893,2,1,AL,Unknown,Dark Not Lighted,0,1,1,2012,3,30,2
1,10016,1,0,1,1,33.95131667,-86.2969,1,0,AL,Unknown,Daylight,0,3,1,2012,12,10,1
1,10017,1,0,1,1,31.35445278,-88.2294,1,0,AL,Unknown,Daylight,0,3,1,2012,16,10,1
1,10018,2,0,2,2,34.05263333,-87.5533,1,0,AL,LYNN,Daylight,1953,4,1,2012,10,30,1
1,10019,1,0,1,1,33.37958889,-85.3145,1,1,AL,Unknown,Dark Not Lighted,0,6,1,2012,22,35,2
1,10020,1,0,1,1,30.50248333,-87.7934,1,0,AL,Unknown,Daylight,0,7,1,2012,9,55,1
1,10021,1,0,1,1,32.31560556,-86.8811,1,1,AL,Unknown,Dark Unknown Lighting,0,10,1,2012,2,10,6
1,10022,1,1,1,1,32.66918611,-86.2667,1,1,AL,Unknown,Dawn,0,10,1,2012,6,23,4
