state,state_case,distract_num,distract_desc,state_name,year
1,10001,10,Object in Vehicle,AL,2012
1,10002,0,Not/Unknown if Distracted,AL,2012
1,10003,0,Not/Unknown if Distracted,AL,2012
1,10004,0,Not/Unknown if Distracted,AL,2012
1,10004,0,Not/Unknown if Distracted,AL,2012
1,10005,0,Not/Unknown if Distracted,AL,2012
1,10006,0,Not/Unknown if Distracted,AL,2012
1,10006,0,Not/Unknown if Distracted,AL,2012
1,10007,0,Not/Unknown if Distracted,AL,2012
1,10008,0,Not/Unknown if Distracted,AL,2012
1,10009,7,Car Controls,AL,2012
1,10009,16,Not/Unknown if Distracted,AL,2012
1,10010,0,Not/Unknown if Distracted,AL,2012
1,10011,0,Not/Unknown if Distracted,AL,2012
1,10012,0,Not/Unknown if Distracted,AL,2012
1,10013,0,Not/Unknown if Distracted,AL,2012
1,10014,98,Distracted Unspecified,AL,2012
1,10015,0,Not/Unknown if Distracted,AL,2012
1,10015,0,Not/Unknown if Distracted,AL,2012
1,10016,0,Not/Unknown if Distracted,AL,2012
1,10017,0,Not/Unknown if Distracted,AL,2012
1,10018,0,Not/Unknown if Distracted,AL,2012
1,10018,0,Not/Unknown if Distracted,AL,2012
1,10019,0,Not/Unknown if Distracted,AL,2012
1,10020,0,Not/Unknown if Distracted,AL,2012
1,10021,0,Not/Unknown if Distracted,AL,2012
1,10022,0,Not/Unknown if Distracted,AL,2012
1,10023,0,Not/Unknown if Distracted,AL,2012
1,10024,0,Not/Unknown if Distracted,AL,2012
1,10025,0,Not/Unknown if Distracted,AL,2012
1,10026,0,Not/Unknown if Distracted,AL,2012
1,10027,0,Not/Unknown if Distracted,AL,2012
1,10028,0,Not/Unknown if Distracted,AL,2012
1,10028,0,Not/Unknown if Distracted,AL,2012
1,10029,0,Not/Unknown if Distracted,AL,2012
1,10029,0,Not/Unknown if Distracted,AL,2012
1,10030,0,Not/Unknown if Distracted,AL,2012
1,10031,0,Not/Unknown if Distracted,AL,2012
1,10032,0,Not/Unknown if Distracted,AL,2012
1,10032,0,Not/Unknown if Distracted,AL,2012
1,10033,0,Not/Unknown if Distracted,AL,2012
1,10034,0,Not/Unknown if Distracted,AL,2012
1,10035,0,Not/Unknown if Distracted,AL,2012
1,10036,0,Not/Unknown if Distracted,AL,2012
1,10037,0,Not/Unknown if Distracted,AL,2012
1,10038,92,Distracted Unspecified,AL,2012
1,10039,0,Not/Unknown if Distracted,AL,2012
1,10040,0,Not/Unknown if Distracted,AL,2012
1,10040,0,Not/Unknown if Distracted,AL,2012
1,10041,0,Not/Unknown if Distracted,AL,2012
1,10041,0,Not/Unknown if Distracted,AL,2012
1,10042,0,Not/Unknown if Distracted,AL,2012
1,10043,0,Not/Unknown if Distracted,AL,2012
1,10044,0,Not/Unknown if Distracted,AL,2012
1,10045,0,Not/Unknown if Distracted,AL,2012
1,10045,0,Not/Unknown if Distracted,AL,2012
1,10046,0,Not/Unknown if Distracted,AL,2012
1,10046,0,Not/Unknown if Distracted,AL,2012
1,10047,0,Not/Unknown if Distracted,AL,2012
1,10048,0,Not/Unknown if Distracted,AL,2012
1,10049,0,Not/Unknown if Distracted,AL,2012
1,10050,0,Not/Unknown if Distracted,AL,2012
1,10050,0,Not/Unknown if Distracted,AL,2012
1,10051,0,Not/Unknown if Distracted,AL,2012
1,10052,0,Not/Unknown if Distracted,AL,2012
1,10053,0,Not/Unknown if Distracted,AL,2012
1,10054,0,Not/Unknown if Distracted,AL,2012
1,10054,0,Not/Unknown if Distracted,AL,2012
1,10055,0,Not/Unknown if Distracted,AL,2012
1,10056,0,Not/Unknown if Distracted,AL,2012
1,10056,0,Not/Unknown if Distracted,AL,2012
1,10057,0,Not/Unknown if Distracted,AL,2012
1,10057,0,Not/Unknown if Distracted,AL,2012
1,10058,0,Not/Unknown if Distracted,AL,2012
1,10058,0,Not/Unknown if Distracted,AL,2012
1,10059,0,Not/Unknown if Distracted,AL,2012
1,10059,0,Not/Unknown if Distracted,AL,2012
1,10060,0,Not/Unknown if Distracted,AL,2012
1,10061,0,Not/Unknown if Distracted,AL,2012
1,10063,0,Not/Unknown if Distracted,AL,2012
1,10064,0,Not/Unknown if Distracted,AL,2012
1,10064,0,Not/Unknown if Distracted,AL,2012
1,10065,0,Not/Unknown if Distracted,AL,2012
1,10066,0,Not/Unknown if Distracted,AL,2012
1,10066,0,Not/Unknown if Distracted,AL,2012
1,10067,0,Not/Unknown if Distracted,AL,2012
1,10068,13,Eating,AL,2012
1,10068,0,Not/Unknown if Distracted,AL,2012
1,10069,0,Not/Unknown if Distracted,AL,2012
1,10070,0,Not/Unknown if Distracted,AL,2012
1,10071,0,Not/Unknown if Distracted,AL,2012
1,10071,0,Not/Unknown if Distracted,AL,2012
1,10072,0,Not/Unknown if Distracted,AL,2012
1,10073,0,Not/Unknown if Distracted,AL,2012
1,10073,0,Not/Unknown if Distracted,AL,2012
1,10074,6,Cell Phone,AL,2012
1,10074,0,Not/Unknown if Distracted,AL,2012
1,10074,0,Not/Unknown if Distracted,AL,2012
1,10075,0,Not/Unknown if Distracted,AL,2012
1,10075,0,Not/Unknown if Distracted,AL,2012
1,10075,0,Not/Unknown if Distracted,AL,2012
1,10076,0,Not/Unknown if Distracted,AL,2012
1,10077,0,Not/Unknown if Distracted,AL,2012
1,10078,0,Not/Unknown if Distracted,AL,2012
1,10078,0,Not/Unknown if Distracted,AL,2012
1,10079,0,Not/Unknown if Distracted,AL,2012
1,10079,0,Not/Unknown if Distracted,AL,2012
1,10080,0,Not/Unknown if Distracted,AL,2012
1,10080,0,Not/Unknown if Distracted,AL,2012
1,10080,0,Not/Unknown if Distracted,AL,2012
1,10081,0,Not/Unknown if Distracted,AL,2012
1,10082,0,Not/Unknown if Distracted,AL,2012
1,10083,0,Not/Unknown if Distracted,AL,2012
1,10084,0,Not/Unknown if Distracted,AL,2012
1,10084,16,Not/Unknown if Distracted,AL,2012
1,10085,0,Not/Unknown if Distracted,AL,2012
1,10085,0,Not/Unknown if Distracted,AL,2012
1,10086,0,Not/Unknown if Distracted,AL,2012
1,10086,0,Not/Unknown if Distracted,AL,2012
1,10087,0,Not/Unknown if Distracted,AL,2012
1,10088,0,Not/Unknown if Distracted,AL,2012
1,10089,0,Not/Unknown if Distracted,AL,2012
1,10090,16,Not/Unknown if Distracted,AL,2012
1,10090,0,Not/Unknown if Distracted,AL,2012
1,10091,0,Not/Unknown if Distracted,AL,2012
1,10092,0,Not/Unknown if Distracted,AL,2012
1,10093,0,Not/Unknown if Distracted,AL,2012
1,10093,0,Not/Unknown if Distracted,AL,2012
1,10094,0,Not/Unknown if Distracted,AL,2012
1,10095,0,Not/Unknown if Distracted,AL,2012
1,10096,0,Not/Unknown if Distracted,AL,2012
1,10097,0,Not/Unknown if Distracted,AL,2012
1,10098,0,Not/Unknown if Distracted,AL,2012
1,10099,0,Not/Unknown if Distracted,AL,2012
1,10100,0,Not/Unknown if Distracted,AL,2012
1,10101,0,Not/Unknown if Distracted,AL,2012
1,10101,0,Not/Unknown if Distracted,AL,2012
1,10102,0,Not/Unknown if Distracted,AL,2012
1,10103,0,Not/Unknown if Distracted,AL,2012
1,10104,0,Not/Unknown if Distracted,AL,2012
